Rank;University;Score;Country;Flag;League
1;Harvard University;100.000;USA;;Diamond League
2;California Institute of Technology (Caltech);99.636;USA;;Diamond League
3;Stanford University;97.050;USA;;Diamond League
4;Imperial College London;96.742;UK;;Diamond League
5;Karolinska Institute;96.609;Sweden;;Diamond League
6;Massachusetts Institute of Technology (MIT);96.370;USA;;Diamond League
7;University of Oxford;96.167;UK;;Diamond League
8;ETH Zurich (Swiss Federal Institute of Technology);94.629;Switzerland;;Diamond League
9;University of Cambridge;94.383;UK;;Diamond League
10;Columbia University;94.132;USA;;Diamond League
11;University College London;93.911;UK;;Diamond League
12;Yale University;93.797;USA;;Diamond League
13;University of Pennsylvania;93.741;USA;;Diamond League
14;Johns Hopkins University;93.617;USA;;Diamond League
15;Northwestern University;93.558;USA;;Diamond League
16;Princeton University;93.517;USA;;Diamond League
17;Ecole Polytechnique Federale de Lausanne;92.159;Switzerland;;Diamond League
18;Case Western Reserve University;91.555;USA;;Diamond League
19;Cornell University;91.528;USA;;Diamond League
20;Washington University in St. Louis;90.996;USA;;Diamond League
21;Peking University;90.954;China;;Diamond League
22;Korea Advanced Institute of Science and Technology (KAIST);90.813;Republic of Korea;;Diamond League
23;Scuola Normale Superiore di Pisa;89.546;Italy;;Diamond League
24;Carnegie Mellon University;89.279;USA;;Diamond League
25;University of Michigan;88.822;USA;;Diamond League
26;University of Edinburgh;88.284;UK;;Diamond League
27;Tsinghua University;87.746;China;;Diamond League
28;King`s College London;87.742;UK;;Diamond League
29;Brown University;87.703;USA;;Diamond League
30;Emory University;87.635;USA;;Diamond League
31;Boston University;87.590;USA;;Diamond League
32;Technical University of Denmark;87.419;Denmark;;Diamond League
33;University of California, Los Angeles;87.212;USA;;Diamond League
34;Nanyang Technological University;87.004;Singapore;;Diamond League
35;Pohang University of Science and Technology (POSTECH);86.997;Republic of Korea;;Diamond League
36;New York University;86.727;USA;;Diamond League
37;McGill University;86.651;Canada;;Diamond League
39;Rice University;86.466;USA;;Diamond League
39;Tufts University;86.466;USA;;Diamond League
40;Royal Institute of Technology (KTH);86.196;Sweden;;Diamond League
41;University of Tokyo;86.051;Japan;;Diamond League
42;University of Bern;85.992;Switzerland;;Diamond League
43;Sorbonne University;85.896;France;;Diamond League
44;University of Wisconsin - Madison;85.887;USA;;Diamond League
45;University of Geneva;85.726;Switzerland;;Diamond League
46;University of Hong Kong;85.692;Hong Kong;;Diamond League
47;University of Pittsburgh;85.550;USA;;Diamond League
48;University of Science and Technology of China;85.514;China;;Diamond League
49;Chalmers University of Technology;85.261;Sweden;;Diamond League
50;Kyoto University;85.222;Japan;;Diamond League
51;Australian National University;85.066;Australia;;Diamond League
52;University of Washington;84.923;USA;;Diamond League
53;University of Zurich;84.764;Switzerland;;Diamond League
54;University of Lausanne;84.706;Switzerland;;Diamond League
55;Ludwig Maximilian University of Munich;84.692;Germany;;Diamond League
56;University of Manchester;84.621;UK;;Diamond League
57;Vanderbilt University;84.555;USA;;Diamond League
58;University of California, Berkeley;84.515;USA;;Diamond League
59;Fudan University;84.455;China;;Diamond League
60;Chinese University Hong Kong;84.299;Hong Kong;;Diamond League
61;Indian Institute of Science;84.104;India;;Diamond League
62;University of California, San Diego;84.089;USA;;Diamond League
63;University of Toronto;84.080;Canada;;Diamond League
64;Wageningen University & Research Center;83.936;Netherlands;;Diamond League
65;University of Southern California;83.816;USA;;Diamond League
66;Ruprecht Karl University of Heidelberg;83.724;Germany;;Diamond League
67;Technische Universitat Dresden (TU Dresden);83.467;Germany;;Diamond League
68;University of North Carolina;83.412;USA;;Diamond League
69;Zhejiang University;83.386;China;;Diamond League
70;Shanghai Jiao Tong University;83.203;China;;Diamond League
71;University of Sydney;82.855;Australia;;Diamond League
72;Georgia Institute of Technology;82.816;USA;;Diamond League
73;University of Minnesota;82.691;USA;;Diamond League
74;National University of Singapore;82.430;Singapore;;Diamond League
75;Utrecht University;82.410;Netherlands;;Diamond League
76;Tohoku University;82.305;Japan;;Diamond League
77;Lund University;82.226;Sweden;;Diamond League
78;University of Twente;81.954;Netherlands;;Diamond League
79;University of Rochester;81.935;USA;;Diamond League
80;Tokyo Institute of Technology;81.894;Japan;;Diamond League
81;University of Warwick;81.832;UK;;Diamond League
82;University of British Columbia;81.719;Canada;;Diamond League
83;Technical University of Munich;81.655;Germany;;Diamond League
84;Georgetown University;81.530;USA;;Diamond League
85;London School of Economics and Political Science;81.508;UK;;Diamond League
86;University of California, Davis;81.382;USA;;Diamond League
87;City University of Hong Kong;81.377;Hong Kong;;Diamond League
88;RWTH Aachen University;81.264;Germany;;Diamond League
89;University of Sheffield;81.230;UK;;Diamond League
90;University of Bristol;81.109;UK;;Diamond League
91;Lomonosov Moscow State University;81.083;Russia;;Diamond League
92;Dartmouth College;80.884;USA;;Diamond League
93;Ohio State University;80.742;USA;;Diamond League
94;University of Birmingham;80.720;UK;;Diamond League
95;University of Notre Dame;80.698;USA;;Diamond League
96;USI - Universita della Svizzera italiana;80.681;Switzerland;;Diamond League
97;University of St. Andrews;80.633;UK;;Diamond League
98;George Washington University;80.421;USA;;Diamond League
99;Hebrew University of Jerusalem;80.287;Israel;;Diamond League
100;Universite de Montreal;80.094;Canada;;Diamond League
101;National Research Nuclear University MEPhI (Moscow Engineering Physics Institute);80.059;Russia;;Golden League
102;Rutgers the State University of New Jersey;79.967;USA;;Golden League
103;Tomsk State University;79.937;Russia;;Golden League
104;Medical University of Vienna;79.684;Austria;;Golden League
105;National Taiwan University;79.541;Taiwan;;Golden League
106;Moscow Institute of Physics and Technology;79.448;Russia;;Golden League
107;University of Florida;79.370;USA;;Golden League
108;University of Sao Paulo;79.328;Brazil;;Golden League
109;University of Gottingen;79.310;Germany;;Golden League
110;Nagoya University;79.061;Japan;;Golden League
111;University of Maryland, College Park;79.057;USA;;Golden League
112;University of Queensland Australia;78.774;Australia;;Golden League
113;University of Malaya;78.765;Malaysia;;Golden League
114;Lancaster University;78.672;UK;;Golden League
115;Hong Kong University of Science and Technology;78.613;Hong Kong;;Golden League
116;Free University of Berlin;78.534;Germany;;Golden League
